,GU,XCODE,YCODE,stationName
9009,관악구,126.9419667962,37.490847758499996,벽산아파트후문.만물슈퍼
9010,관악구,126.9589106984,37.4743727499,낙성대현대아파트
9011,관악구,126.9421571811,37.4829992313,봉천역
9012,관악구,126.94680848719999,37.4918673838,관악드림타운2단지.관악선의복지관
9013,관악구,126.9135636303,37.4771669403,라이프아파트
9014,관악구,126.9314410533,37.469309301500004,삼성동시장
9015,관악구,126.92145215149999,37.474084356599995,남강중고등학교입구
9016,관악구,126.96514174069999,37.4691834753,은천아파트
9017,관악구,126.95828017139999,37.471684527600004,낙성대공원.영어마을
9018,관악구,126.9474830816,37.4910350656,구암어린이집앞
9019,관악구,126.9130747297,37.4756040638,미성중학교
9020,관악구,126.93096978959998,37.467887981,삼성전자
9021,관악구,126.92214368629999,37.4744767955,제일교회입구
9022,관악구,126.9659793277,37.469516228,세진아파트
9023,관악구,126.95789358639999,37.4695334479,서울과학전시관
9024,관악구,126.94794747370001,37.4899809794,성현동주민센터
9025,관악구,126.91356012709998,37.4743185413,두영아파트
9026,관악구,126.93002784049999,37.466907923200004,유완약국.성림교회
9027,관악구,126.92285219799999,37.474859329299996,충남슈퍼.생각대로통신
9028,관악구,126.966851956,37.4698796222,개미유통
9029,관악구,126.9583339951,37.4684117254,호암교수회관
9030,관악구,126.94665233389999,37.4872239236,현대시장
9031,관악구,126.9124928566,37.473313022199996,신라놀이터
9032,관악구,126.9268060717,37.4655416947,광신고등학교.주공1단지
9033,관악구,126.9235493967,37.4752553681,한마음슈퍼
9034,관악구,126.9684009967,37.469470042800005,소망유통
9035,관악구,126.9466789803,37.4847359856,두산아파트
